t_minus_t0_M,SXS_BBH_ExtCCE_0008_delta_h22_real_over_nu,SXS_BBH_ExtCCE_0008_delta_h22_imag_over_nu,SEOBNRv5PHM_delta_h22_real_over_nu,SEOBNRv5PHM_delta_h22_imag_over_nu,SXS_BBH_ExtCCE_0008_delta_h20_real_over_nu,SXS_BBH_ExtCCE_0008_delta_h20_imag_over_nu,SEOBNRv5PHM_delta_h20_real_over_nu,SEOBNRv5PHM_delta_h20_imag_over_nu,SEOBNRv5PHM_plus_memory_delta_h20_real_over_nu,SEOBNRv5PHM_plus_memory_delta_h20_imag_over_nu,SXS_BBH_ExtCCE_0008_delta_h30_real_over_nu,SXS_BBH_ExtCCE_0008_delta_h30_imag_over_nu,SEOBNRv5PHM_delta_h30_real_over_nu,SEOBNRv5PHM_delta_h30_imag_over_nu,SEOBNRv5PHM_plus_memory_delta_h30_real_over_nu,SEOBNRv5PHM_plus_memory_delta_h30_imag_over_nu
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9999790143424434,0.010030807926545591,-0.00045292265913612434,0.010022243499305002,-0.0004920634366963958,-6.516567906903136e-06,-1.0300503429830758e-05,8.962503994182819e-07,3.5914918824003643e-07,2.7730388784532323e-06,3.5914918824003643e-07,1.229539263416773e-08,2.3270099732569525e-08,6.61149088758716e-13,-4.0139970252421236e-08,6.611490887577994e-13,-3.659177001314748e-08
1.999960922646494,0.020044149595039158,-0.0011907928499645898,0.02002669197578606,-0.0012692101058493581,-1.3358691468201287e-05,-2.1037328164272858e-05,1.642718668639758e-06,7.197354072650744e-07,5.396671610780414e-06,7.197354072650744e-07,2.458021082831572e-08,3.622506019909683e-08,1.0169425453954985e-12,-8.071741975178759e-08,1.0169425453954617e-12,-7.362131393996882e-08
2.999945739845657,0.030031929834615473,-0.002213033391239478,0.030005238822011993,-0.0023308533286252953,-2.053000246973186e-05,-3.2201673574483725e-05,2.2370674138543217e-06,1.0816846437181008e-06,7.868560925161025e-06,1.0816846437181008e-06,3.6895444894378664e-08,3.7543406698680326e-08,1.0614836222285307e-12,-1.2170290108078283e-07,1.0614836222280973e-12,-1.1105948137605776e-07
3.9999081710501514,0.0399858226220869,-0.0035188022535559615,0.0399495447205261,-0.003676138180990723,-2.8031408356027578e-05,-4.377975386449437e-05,2.6770571826775498e-06,1.4449127429086686e-06,1.018641995154574e-05,1.4449127429086686e-06,4.907084167676738e-08,2.7297858634431888e-08,7.893852075478217e-13,-1.6306522897357903e-07,7.893852075473701e-13,-1.488751463700759e-07
4.999872680458168,0.0498980233959302,-0.0051070856240587464,0.0498517913906421,-0.005304039445716736,-3.586270916919445e-05,-5.5760239333751e-05,2.96058463455384e-06,1.8093527796286716e-06,1.2348191369685983e-05,1.8093527796286716e-06,6.069797378254059e-08,7.155059465282484e-09,1.957724903930106e-13,-2.0477460688872622e-07,1.957724903924883e-13,-1.8703839303127897e-07
5.999839981304319,0.059760518645693254,-0.006976619530107313,0.05970395452162378,-0.007213281408372984,-4.402401511263095e-05,-6.813873011002354e-05,3.085643347654605e-06,2.174928446008408e-06,1.4351870192222588e-05,2.174928446008408e-06,7.130480281503235e-08,-2.03984744304982e-08,-7.23699316900916e-13,-2.467996292704752e-07,-7.23699316901636e-13,-2.2551777909202826e-07
6.999810098694184,0.06956532191613896,-0.009125909567314234,0.06949804085028448,-0.009402359146556266,-5.251757746207242e-05,-8.091906783284587e-05,3.0503427298642537e-06,2.5415623921401817e-06,1.6195565972477855e-05,2.5415623921401817e-06,8.075866472926621e-08,-5.325752479575545e-08,-1.9728220225590656e-12,-2.8910824234832515e-07,-1.9728220225591585e-12,-2.6428121491607264e-07
7.999783055757746,0.0793044878429953,-0.011553233406715142,0.07922610148938376,-0.011869540461132824,-6.134788902978697e-05,-9.410967165938904e-05,2.852911286115457e-06,2.909176487335559e-06,1.7877507360310193e-05,2.909176487335559e-06,8.944478135448699e-08,-9.100538191116617e-08,-3.5548179820962965e-12,-3.316677944539036e-07,-3.554817982097763e-12,-3.0329601149441525e-07
8.999758873799863,0.08897012116635247,-0.01425664339343307,0.08888023839030151,-0.014612867162495505,-7.052022229674042e-05,-0.00010771735816210638,2.4916994541530903e-06,3.2776918328825465e-06,1.9396044938231246e-05,3.2776918328825465e-06,9.833565968873628e-08,-1.351414038447424e-07,-5.4723243909233075e-12,-3.744450588521502e-07,-5.4723243909246985e-12,-3.4252890332339e-07
9.999735330602789,0.09855436469791184,-0.017233962051152338,0.09845258941042076,-0.017630149457801926,-8.003827677980274e-05,-0.00012174221325200706,1.9651837329702323e-06,3.647027946127712e-06,2.0749651134692958e-05,3.647027946127712e-06,1.0852291130137897e-07,-1.8837504891799113e-07,-7.727373075539705e-12,-4.1740616082568493e-07,-7.7273730755395e-12,-3.8194598351830003e-07
10.999691300992822,0.10804925102304501,-0.0204827244443637,0.10793517858692757,-0.020918907437991532,-8.990238865772546e-05,-0.00013617624239357782,1.2719842327720087e-06,4.017096594477486e-06,2.1936906438002048e-05,4.017096594477486e-06,1.2063562005781134e-07,-2.5302840068043025e-07,-1.0321326657134098e-11,-4.605158812114016e-07,-1.0321326657135032e-11,-4.2151206644759365e-07
11.99964997726471,0.11744730864593235,-0.024000384964985834,0.11732052220623788,-0.02447658143180555,-0.00010011023456332238,-0.00015100763768829788,4.10823201589524e-07,4.3878252109282045e-06,2.2956576811957995e-05,4.3878252109282045e-06,1.3430836692286944e-07,-3.2983980494168784e-07,-1.3255030302699475e-11,-5.037404089181422e-07,-1.3255030302699905e-11,-4.611932163144765e-07
12.999611390979851,0.12674091949727395,-0.027784113340517388,0.1266009901856524,-0.028300325939844606,-0.00011065803745095194,-0.00016622548219845956,-6.194343574469822e-07,4.7591319690666565e-06,2.3807527436934766e-05,4.7591319690666565e-06,1.481065716455929e-07,-4.175477668002431e-07,-1.6528642380721346e-11,-5.470444635422646e-07,-1.6528642380722027e-11,-5.009541089861852e-07
